Size of array,Matrix Time
305,0.1670000E-3
306,0.1680000E-3
307,0.1690000E-3
308,0.1690000E-3
309,0.1700000E-3
310,0.1710000E-3
311,0.1740000E-3
312,0.1750000E-3
313,0.1760000E-3
314,0.1770000E-3
315,0.1780000E-3
316,0.1790000E-3
317,0.1790000E-3
318,0.1800000E-3
319,0.1800000E-3
320,0.1800000E-3
321,0.1810000E-3
322,0.1810000E-3
323,0.1810000E-3
324,0.1820000E-3
325,0.1820000E-3
326,0.1830000E-3
327,0.1840000E-3
328,0.1840000E-3
329,0.1850000E-3
330,0.1860000E-3
331,0.1870000E-3
332,0.1870000E-3
333,0.1880000E-3
334,0.1890000E-3
335,0.1900000E-3
336,0.1910000E-3
337,0.1920000E-3
338,0.1930000E-3
339,0.1940000E-3
340,0.1940000E-3
341,0.1950000E-3
342,0.1950000E-3
343,0.1960000E-3
344,0.1960000E-3
345,0.1970000E-3
346,0.1980000E-3
347,0.1990000E-3
348,0.2000000E-3
349,0.2000000E-3
350,0.2000000E-3
351,0.2010000E-3
352,0.2010000E-3
353,0.2020000E-3
354,0.2030000E-3
355,0.2040000E-3
356,0.2040000E-3
357,0.2050000E-3
358,0.2060000E-3
359,0.2070000E-3
360,0.2080000E-3
361,0.2080000E-3
362,0.2080000E-3
363,0.2080000E-3
